title,company,location,url,source,salary,job_type,description,posted_date,tags
Data Engineer,Sayari,Remote - US,https://remoteOK.com/remote-jobs/remote-data-engineer-sayari-1129302,RemoteOK,"$60,000 - $80,000",Remote,"<h2><strong>About Sayari:&nbsp;</strong></h2>
<div>
<p>Sayari is a risk intelligence provider that equips the public and private sectors with immediate visibility into complex commercial relationships by delivering the largest commercially available collection of corporate and trade data from over 250 jurisdictions worldwide. Sayari's solutions enable risk resilience, mission-critical investigations, and better economic decisions.&nbsp;</p>
<p>Headquartered in Washington, D.C., its solutions are",2025-12-22T00:00:40+00:00,"python, software, code, financial, investment, scala, engineer, engineering"
Senior Web Scraping Engineer Python,Oxylabs ,Poland,https://remoteOK.com/remote-jobs/remote-senior-web-scraping-engineer-python-oxylabs-1129243,RemoteOK,,Remote,"<p><span style=""font-size: 11pt;"">Weâre a team of 500+ professionals who develop cutting-edge proxy and web data scraping solutions for thousands of the worldâs best known businesses, including Fortune 500 companies.&nbsp;</span></p><p><br></p><p><b><span style=""font-size: 11pt;"">Whatâs in store for you:</span></b></p><p><span style=""font-size: 11pt;"">Youâll be solving complex challenges and maintaining our own infrastructure with 60PB+ monthly data traffic. Here are its scale and maturi",2025-12-16T16:00:01+00:00,"python, web, system, front-end, back-end, support, css, senior, go, engineer"
Senior Data Engineer,Ethena Labs,Globally Remote,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-ethena-labs-1129163,RemoteOK,,Remote,"<p><b style=""font-size: 18px"">Who We Are and What We are Doing:</b></p><p>Ethena Labs is actively building and deploying a suite of groundbreaking digital dollar products aiming to upgrade money into the internet era.</p><p><br></p><p>Our flagship product, USDe, is a synthetic dollar backed by digital assets, and takes the novel approach of using a delta-neutral hedged basis strategy to maintain its peg. This product scaled from zero to $15b in 18 months.</p><p><br></p><p>Expanding on this, iUSD",2025-12-10T14:00:01+00:00,"crypto, back-end, python, cto, technical, growth, financial, finance, serverless, cloud, strategy, senior, junior, engineer"
Software Developer,Benzinga,,https://remoteOK.com/remote-jobs/remote-software-developer-benzinga-1129083,RemoteOK,,Remote,Remote - Job Title: AI / Machine Learning Engineer (AI / Python / Go)Location: RemoteEmployment Type: Full Time (40+ hrs) Independent ContractorCompany Name: BenzingaAbout BenzingaBenzinga is a fast-growing financial media and data technology company reshaping how inv...<br/><br/>Please mention the word **TALENTED** and tag RMTUyLjMyLjk4LjIzNw== when applying to show you read the job post completely (#RMTUyLjMyLjk4LjIzNw==). This is a beta feature to avoid spam applicants. Companies can search t,2025-12-01T21:00:02+00:00,"golang, developer, software, python, financial, engineer, digital nomad"
Staff Software Engineer Full Stack & AI Systems,Sully.ai,,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-full-stack-ai-systems-sully-ai-1128998,RemoteOK,"$200,000 - $230,000",Remote,"<p style=""min-height:1.5em""><strong>About Us</strong><br />At <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""http://Sully.ai"">Sully.ai</a>, <strong>Weâre Building the Most Impactful Healthcare Company on Earth</strong></p><p style=""min-height:1.5em"">We believe that access to a great doctor is a basic human right. Today, thatâs not a reality. Delays, misdiagnoses, administrative chaos, and burnout plague the system.<br /></p><p style=""min-height:1.5em""><strong>Our Mission:</stron",2025-11-20T00:00:35+00:00,"software, design, system, frontend, python, full-stack, architect, test, ui, cloud, api, admin, healthcare, engineer, engineering, digital nomad"
Data Engineer Revenue Platform,Spotify,London,https://remoteOK.com/remote-jobs/remote-data-engineer-revenue-platform-spotify-1128972,RemoteOK,,Remote,"<p>At Spotify, we're building the revenue platform that drives how revenue and taxes are processed across the company â enabling reliable, scalable financial operations across every market, product line, and partner. Our systems are essential to Spotifyâs ability to earn, track, and report revenue and taxes, supporting everything from subscriptions and advertising to creator payouts.</p><p><br></p><p>As engineers on this team, we design and maintain the backend and data platform capabilities",2025-11-17T20:00:01+00:00,"design, system, python, music, technical, support, code, financial, finance, cloud, scala, operations, operational, engineer, engineering, recruitment, backend, digital nomad"
Data Engineer,Loop,,https://remoteOK.com/remote-jobs/remote-data-engineer-loop-1128876,RemoteOK,,Remote,"<p><span style=""font-size: 16px;"">The Data team at Loop is on a mission to empower merchants with transformative data products that drive success beyond returns. By building tools that merchants love and fostering a robust data culture, the team enables smarter decision-making across the board. Whether creating insights to guide merchantsâ strategies or strengthening internal data-driven processes, the Data team is integral to shaping Loopâs future and unlocking new opportunities for our mer",2025-11-06T00:01:10+00:00,"python, growth, code, cloud, senior, operations, analytics, engineer"
Software Engineer Engineering Productivity,Reliable Robotics,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-engineering-productivity-reliable-robotics-1128839,RemoteOK,,Remote,"<p>We're building safety-enhancing technology for aviation that will save lives. Automated aviation systems will enable a future where air transportation is safer, more convenient and fundamentally transformative to the way goods â and eventually people â move around the planet. We are a team of mission-driven engineers with experience across aerospace, robotics and self-driving cars working to make this future a reality.</p><p><br></p><p><span style=""font-size: 16px;"">As a Senior Software E",2025-11-05T00:06:09+00:00,"software, design, react, system, python, technical, support, test, ux, code, web, travel, cloud, robotics, management, senior, engineer, engineering, digital nomad"
Senior Data Analyst,TextNow,Open- Canada,https://remoteOK.com/remote-jobs/remote-senior-data-analyst-textnow-1128834,RemoteOK,,Remote,"<p><span style=""font-size: 16px"">We believe communication belongs to everyone. We exist to democratize phone service.&nbsp; TextNow&nbsp;is evolving the way the world connects and that's because we're made up of people with curious minds who bring an optimistic, yet critical lens into the work we do.&nbsp;&nbsp; We're the largest provider of free phone service in the nation. And we're just getting started. </span></p><p><br></p><p><span style=""font-size: 16px"">Join&nbsp;us in our mission to brea",2025-11-05T00:05:00+00:00,"analyst, python, support, growth, travel, senior, junior, operations, analytics, engineering"
EU GO Senior Software Engineer,Connectly,Remote/Greece,https://remoteOK.com/remote-jobs/remote-eu-go-senior-software-engineer-connectly-1128824,RemoteOK,,Remote,"<p>At Connectly we are building the future of conversational commerce in Latin America with the focus on Whatsapp. Instead of shoppers installing yet another app, we are offering a 360 engagement platform for retailers inside of an app that everyone already have on their phone - Whatsapp.&nbsp;</p><p><br></p><p>We are a VC-backed Series B startup with a world-class team hailing from Meta, Google, Uber, and other top Silicon Valley companies. We operate as a hybrid company, with offices in BogotÃ",2025-11-05T00:02:51+00:00,"software, system, frontend, python, technical, code, cloud, api, strategy, senior, operational, excel, go, engineer, engineering, backend"
